Country,islam_all
United States of America,2814750
Canada,670000
Bahamas,0
Cuba,8000
Haiti,1750
Dominican Republic,0
Jamaica,1513
Trinidad and Tobago,65700
Barbados,2300
Dominica,0
Grenada,526
St. Lucia,164
St. Vincent and the Grenadines,104
Antigua & Barbuda,0
St. Kitts and Nevis,141
Mexico,3760
Belize,577
Guatemala,2000
Honduras,397
El Salvador,2027
Nicaragua,1602
Costa Rica,0
Panama,13181
Colombia,27740
Venezuela,29864
Guyana,57562
Suriname,110936
Ecuador,1500
Peru,6000
Brazil,35167
Bolivia,1031
Paraguay,3873
Chile,4500
Argentina,611000
Uruguay,1015
United Kingdom,2700000
Ireland,25700
Netherlands,963526
Belgium,543818
Luxembourg,10139
France,4950000
Monaco,264
Liechtenstein,1960
Switzerland,322000
Spain,1400000
Andorra,769
Portugal,90987
Germany,4000000
Poland,5100
Austria,398571
Hungary,4500
Czech Republic,1338
Slovakia,521
Italy,700000
San Marino,6
Malta,4122
Albania,2013180
Montenegro,120289
Macedonia,703363
Croatia,65023
Yugoslavia,226117
Bosnia and Herzegovina,1720707
Kosovo,1657720
Slovenia,61611
Greece,272000
Cyprus,164999
Bulgaria,972000
Moldova,128238
Romania,85000
Russia,16482000
Estonia,2000
Latvia,320
Lithuania,2727
Ukraine,456000
Belarus,19000
Armenia,1000
Georgia,440787
Azerbaijan,8595234
Finland,24245
Sweden,562741
Norway,99500
Denmark,222000
Iceland,1589
Cape Verde,15200
Sao Tome and Principe,2443
Guinea-Bissau,589777
Equatorial Guinea,27500
Gambia,1548362
Mali,12754822
Senegal,11346069
Benin,2325715
Mauritania,3212166
Niger,13714412
Ivory Coast,8029337
Guinea,8702832
Burkina Faso,9023117
Liberia,468918
Sierra Leone,3396544
Ghana,4223515
Togo,815854
Cameroon,4265362
Nigeria,78284656
Gabon,210332
Central African Republic,675397
Chad,6347232
Congo,77400
Democratic Republic of the Congo,882247
Uganda,3734278
Kenya,4198090
Tanzania,15505201
Burundi,214879
Rwanda,475843
Somalia,9283692
Djibouti,860869
Ethiopia,28332765
Eritrea,2100000
Angola,198750
Mozambique,5320442
Zambia,71124
Zimbabwe,130448
Malawi,2110934
South Africa,845000
Namibia,10200
Lesotho,1600
Botswana,49529
Swaziland,8000
Madagascar,1123633
Comoros,666746
Mauritius,221778
Seychelles,1459
Morocco,31430015
Algeria,35309660
Tunisia,10443506
Libya,6310833
Sudan,28488914
Iran,73332824
Turkey,75699756
Iraq,30210000
Egypt,70248701
Syria,18372466
Lebanon,2203740
Jordan,5928782
Israel,1524000
Saudi Arabia,24477606
Yemen,23369328
Kuwait,2478497
Bahrain,1106174
Qatar,798733
United Arab Emirates,4208337
Oman,2678195
Afghanistan,26880000
Turkmenistan,4998243
Tajikistan,6692802
Kyrgyzstan,4132536
Uzbekistan,26189329
Kazakhstan,9678983
China,33629356
Mongolia,82380
Taiwan,102000
North Korea,0
South Korea,71071
Japan,195001
India,160130000
Bhutan,6947
Pakistan,161189415
Bangladesh,132119746
Myanmar,2450000
Sri Lanka,1975865
Maldives,311056
Nepal,1162370
Thailand,6733346
Cambodia,293716
Laos,61408
Vietnam,93736
Malaysia,17263000
Singapore,727000
Brunei,335000
Philippines,5113771
Indonesia,201550000
East Timor,7894
Australia,476290
Papua New Guinea,1832
New Zealand,48943
Vanuatu,0
Solomon Islands,1700
Kiribati,0
Tuvalu,10
Fiji,51559
Tonga,0
Nauru,0
Marshall Islands,0
Palau,470
Federated States of Micronesia,0
Samoa,61
